item_id,frame_shape,frame_color,style_tag
EW001,round,dark brown,classic
EW002,soft square,black,professional
EW003,oval,tortoise,vintage
EW004,rectangle,gunmetal,minimal
EW005,cat eye,burgundy,bold
EW006,aviator,gold,retro
EW007,square,navy,casual
EW008,browline,black,academic
EW009,wayfarer,espresso,classic
EW010,geometric,clear,modern
EW011,hexagon,gold,bold
EW012,panto,champagne,vintage
EW013,rimless,silver,minimal
EW014,semi rimless,gunmetal,professional
EW015,butterfly,rose gold,bold
EW016,shield,black,sport
EW017,wraparound,matte black,sport
EW018,clubmaster,tortoise,academic
EW019,d frame,walnut,classic
EW020,oversized,plum,bold
EW021,keyhole bridge,amber,retro
EW022,double bridge,gold,retro
EW023,navigator,black,professional
EW024,rounded square,crystal brown,soft
EW025,flat top,forest green,street
EW026,transparent,clear,modern
EW027,low bridge fit,dark brown,comfort
EW028,thin metal,teal,minimal
EW029,chunky acetate,burgundy,bold
EW030,sport rectangle,navy,active
